"Reference ID","Product Name","Sale  Price","POS Category","Internal Category"
24000356011,"CONTADIN DICD 1b",2.79,"Grocery","Grocery"
24000525714,"DM MANGO PN 4/4z",3.29,"Grocery","Grocery"
24600010016,"MORTON SALT 1lb",1.29,"Grocery","Grocery"
25183100729,"SARDINES OIL 15z",2.49,"Grocery","Grocery"
25293600904,"SILK SOYMILK 1Qt",2.79,"Grocery","Grocery"
25500000800,"FOLGERS CLSC 12z",8.99,"Grocery","Grocery"
25500003658,"FLGR CLASIC 11.3",5.19,"Grocery","Grocery"
25500003719,"FLGR C DCAF 11.3",6.49,"Grocery","Grocery"
25500003849,"FLGR 100%CO 10.3",5.19,"Grocery","Grocery"
25500003979,"FLGR FRENCH 10.3",5.19,"Grocery","Grocery"
27000378823,"HUNTS DICED 28z",2.59,"Grocery","Grocery"
27000379097,"HUNTS CRUSHED 1b",2.59,"Grocery","Grocery"
27000380109,"HTS W PEELED 14½",1.99,"Grocery","Grocery"
27000380116,"HNTS W PEELED 1b",2.79,"Grocery","Grocery"
27000381106,"HUNTS DICED 14½z",1.99,"Grocery","Grocery"
27000382493,"HNTS KETCHUP 24z",2.09,"Grocery","Grocery"
27000388150,"HUNTS PASTE 6z",0.99,"Grocery","Grocery"
27000388273,"HUNTS PASTE 18z",2.69,"Grocery","Grocery"
27000389690,"HUNTS PUREE 1b",2.59,"Grocery","Grocery"
27000389843,"HUNTS PASTE 1b",3.29,"Grocery","Grocery"
27000390054,"HUNTS SAUCE 8z",0.89,"Grocery","Grocery"
27000390146,"HUNTS SAUCE 15z",1.99,"Grocery","Grocery"
27000390238,"HUNTS SAUCE 1b",2.59,"Grocery","Grocery"
27000419007,"SNK PK CHC 4/3¼z",1.69,"Grocery","Grocery"
27000419229,"SNK PK STB 4/3¼z",1.89,"Grocery","Grocery"
27000485392,"OR BUTTER 9.9oz",2.49,"Grocery","Grocery"
27000490303,"OR BUTTER 8.7oz",2.49,"Grocery","Grocery"
27000612262,"WESSON VGTBL 24z",3.79,"Grocery","Grocery"
27000650868,"WESSON OIL 48oz",6.89,"Grocery","Grocery"
28000008246,"JJ APPLE 64z",4.99,"Grocery","Grocery"
28000033170,"NSTL NIDO 12.6oz",4.99,"Grocery","Grocery"
28000077372,"MG CLDO CSTL 7.9",2.69,"Grocery","Grocery"
28000123871,"MG CLDO PLL 10.2",1.99,"Grocery","Grocery"
28000149727,"NSTL NESTM 14.1z",8.49,"Grocery","Grocery"
28000157852,"NSTL ABUELIT 19z",5.99,"Grocery","Grocery"
28000159764,"JJ BERRY 8/6¾oz",4.19,"Grocery","Grocery"
28000213190,"MG CLDO PLL 3.5z",1.39,"Grocery","Grocery"
28000244606,"NSTL NESQUIK 22z",2.79,"Grocery","Grocery"
28000245009,"NSTL NESQUIK 22z",2.79,"Grocery","Grocery"
28000247959,"MG CLDO PLL 2.43",0.89,"Grocery","Grocery"
28000258955,"JJ ORNGE T 8/6¾z",4.19,"Grocery","Grocery"
28000275259,"JJ APPLE 48oz",3.99,"Grocery","Grocery"
28000299781,"NSTL ABUELT 11.2",6.19,"Grocery","Grocery"
28000333171,"NSTL NIDO 12.6oz",7.99,"Grocery","Grocery"
28000466312,"NESCAF CLASIC 7z",9.99,"Grocery","Grocery"
28000467012,"NSCF CLASIC 1.7z",2.89,"Grocery","Grocery"
28000469429,"NSCF CLASIC 3.5z",4.99,"Grocery","Grocery"
28000500313,"MG CLDO RES 2.32",0.89,"Grocery","Grocery"
28000500764,"MG CLDO PLL 2.4z",0.89,"Grocery","Grocery"
28000510411,"MG PLL FDS 2.11z",0.79,"Grocery","Grocery"
28000513108,"MG PLL CRC 2.11z",0.79,"Grocery","Grocery"
28000515911,"MG CREMA P 2.26z",0.79,"Grocery","Grocery"
28000516017,"MG P ARROZ 2.11z",0.79,"Grocery","Grocery"
28000516116,"MG RES FDO 2.11z",0.79,"Grocery","Grocery"
28000517205,"NSTL /CREMA 7.6Z",2.49,"Grocery","Grocery"
28000517311,"MG CREMA M 2.82z",1.29,"Grocery","Grocery"
28000517809,"NSTL CONDNSD 14z",2.99,"Grocery","Grocery"
28000518110,"NSTL LECHER 3.5z",6.49,"Grocery","Grocery"
28000518868,"DULC/LECHE 13.4z",3.99,"Grocery","Grocery"
28000521455,"JJ FRUIT P 8/6¾z",4.19,"Grocery","Grocery"
28000541361,"JJ KIWI ST 8/6¾z",4.19,"Grocery","Grocery"
28000542313,"NESCAF CLASIC 7z",8.99,"Grocery","Grocery"
28000544652,"NSCF CLASCO 3.5z",4.99,"Grocery","Grocery"
28000567149,"JJ TROPICAL 64z",4.99,"Grocery","Grocery"
28000675363,"NSCAF OLLA 3.52z",4.99,"Grocery","Grocery"
28000679903,"NSTL NESQK 10.9z",3.79,"Grocery","Grocery"
28000680404,"NSTL NESQK 10.9z",3.79,"Grocery","Grocery"
28000680909,"NSTL NESQK 21.8z",5.99,"Grocery","Grocery"
28000681401,"NSTL NSQIK 21.8z",5.99,"Grocery","Grocery"
28000683207,"NTL CNDNSAD 15.8",4.99,"Grocery","Grocery"
28000736095,"MG SOPAS C 3.24z",1.29,"Grocery","Grocery"
28000803193,"MG CLDO PLL 7.9z",2.69,"Grocery","Grocery"
28000852368,"JJ APPLE 8/6¾oz",4.19,"Grocery","Grocery"
28000874575,"JJ GRAPE 8/6¾oz",4.19,"Grocery","Grocery"
28571000540,"R SARDINS ST 15z",2.69,"Grocery","Grocery"
28571000694,"SIREN PCA P 5.5z",1.09,"Grocery","Grocery"
28571010334,"LA SIRENA J 15z",1.99,"Grocery","Grocery"
29000072121,"PN PEANUTS 12oz",3.99,"Grocery","Grocery"
29000072299,"PN UNSALTED 12oz",4.09,"Grocery","Grocery"
29700001148,"IDAHOAN M 13¾oz",2.49,"Grocery","Grocery"
30000010204,"QO OLD FSHND 18z",3.29,"Grocery","Grocery"
30000012000,"QUAKER OATS 2lb",5.99,"Grocery","Grocery"
30000050200,"AJ ORIGINAL 1lb",2.49,"Grocery","Grocery"
30000050408,"AJ ORIGINAL 32oz",3.49,"Grocery","Grocery"
30000050705,"AJ COMPLETE 2lb ",3.49,"Grocery","Grocery"
30000052907,"AJ COMPLETE 1lb",2.49,"Grocery","Grocery"
30000059500,"AJ ORIGINAL 12oz",3.49,"Grocery","Grocery"
30000059708,"AJ ORIGINAL 24oz",4.99,"Grocery","Grocery"
30000316849,"QUAKR FLVR/V 15z",4.99,"Grocery","Grocery"
30267700009,"DC PEACH HLV 29z",2.99,"Grocery","Grocery"
30267700016,"DC FRUIT CTL 29Z",2.99,"Grocery","Grocery"
31200200075,"OS CRANBERRY 64z",4.49,"Grocery","Grocery"
31200203007,"OS CRANBERRY 3L",6.99,"Grocery","Grocery"
31200261076,"OS CRAN·RASP 64z",4.89,"Grocery","Grocery"
31200370075,"OS CRAN·STRW 64z",4.89,"Grocery","Grocery"
31500001273,"B&G SPEARS 24oz",3.59,"Grocery","Grocery"
31500003048,"B&G WHOLE 32oz",3.69,"Grocery","Grocery"
31500003147,"B&G SPEARS 16oz",2.99,"Grocery","Grocery"
31500003383,"B&G CHIPS 16oz",2.99,"Grocery","Grocery"
33200011101,"BAKING SODA 1lb",1.09,"Grocery","Grocery"
33200011309,"BAKING SODA 8z",0.69,"Grocery","Grocery"
33844001018,"BADIA SSNING 12z",3.49,"Grocery","Grocery"
35568002906,"PICO LIMóN 4oz",3.09,"Grocery","Grocery"
36200002506,"RGU TRDITINLS 1b",3.39,"Grocery","Grocery"
36200003008,"RGU FLAV MEAT 1b",3.99,"Grocery","Grocery"
36200003503,"RAGU MUSHROOM 1b",3.39,"Grocery","Grocery"
36200004463,"RGU SUPER VEG 1b",3.39,"Grocery","Grocery"
36200013694,"RAGU CHESY 16z",3.39,"Grocery","Grocery"
36200013755,"RGU SIX CHEES 1b",3.99,"Grocery","Grocery"
36426300332,"MIRA MNGO 3/6.7z",1.79,"Grocery","Grocery"
